_key,ल्युट्,अनीयर्,ण्वुल्,तुमुन्,तव्य,तृच्,क्त्वा,ल्यप्,क्तवतुँ,क्त,शतृँ,शानच्,शतृ
01.0030,यतनम्,"यतनीयः,यतनीया","यातकः,यातिका",यतितुम्,"यतितव्यः,यतितव्या","यतिता,यतित्री",यतित्वा,प्रयत्य,"यत्तवान्,यत्तवती","यत्तः,यत्ता",,"यतमानः,यतमाना",
01.0031,योतनम्,"योतनीयः,योतनीया","योतकः,योतिका",योतितुम्,"योतितव्यः,योतितव्या","योतिता,योतित्री","योतित्वा,युतित्वा",प्रयुत्य,"युतितवान्,योतितवान्,युतितवती,योतितवती","युतितः,योतितः,युतिता,योतिता",,"योतमानः,योतमाना",
01.0032,जोतनम्,"जोतनीयः,जोतनीया","जोतकः,जोतिका",जोतितुम्,"जोतितव्यः,जोतितव्या","जोतिता,जोतित्री","जोतित्वा,जुतित्वा",प्रजुत्य,"जुतितवान्,जोतितवान्,जुतितवती,जोतितवती","जुतितः,जोतितः,जुतिता,जोतिता",,"जोतमानः,जोतमाना",
01.0033,वेथनम्,"वेथनीयः,वेथनीया","वेथकः,वेथिका",वेथितुम्,"वेथितव्यः,वेथितव्या","वेथिता,वेथित्री","वेथित्वा,विथित्वा",प्रविथ्य,"विथितवान्,विथितवती","विथितः,विथिता",,"वेथमानः,वेथमाना",
01.0034,वेथनम्,"वेथनीयः,वेथनीया","वेथकः,वेथिका",वेथितुम्,"वेथितव्यः,वेथितव्या","वेथिता,वेथित्री",वेथित्वा,प्रवेथ्य,"वेथितवान्,वेथितवती","वेथितः,वेथिता",,"वेथमानः,वेथमाना",
01.0035,श्रन्थनम्,"श्रन्थनीयः,श्रन्थनीया","श्रन्थकः,श्रन्थिका",श्रन्थितुम्,"श्रन्थितव्यः,श्रन्थितव्या","श्रन्थिता,श्रन्थित्री",श्रन्थित्वा,प्रश्रन्थ्य,"श्रन्थितवान्,श्रन्थितवती","श्रन्थितः,श्रन्थिता",,"श्रन्थमानः,श्रन्थमाना",
01.0036,ग्रन्थनम्,"ग्रन्थनीयः,ग्रन्थनीया","ग्रन्थकः,ग्रन्थिका",ग्रन्थितुम्,"ग्रन्थितव्यः,ग्रन्थितव्या","ग्रन्थिता,ग्रन्थित्री",ग्रन्थित्वा,प्रग्रन्थ्य,"ग्रन्थितवान्,ग्रन्थितवती","ग्रन्थितः,ग्रन्थिता",,"ग्रन्थमानः,ग्रन्थमाना",
01.0037,कत्थनम्,"कत्थनीयः,कत्थनीया","कत्थकः,कत्थिका",कत्थितुम्,"कत्थितव्यः,कत्थितव्या","कत्थिता,कत्थित्री",कत्थित्वा,प्रकत्थ्य,"कत्थितवान्,कत्थितवती","कत्थितः,कत्थिता",,"कत्थमानः,कत्थमाना",
01.0038,अतनम्,"अतनीयः,अतनीया","आतकः,आतिका",अतितुम्,"अतितव्यः,अतितव्या","अतिता,अतित्री",अतित्वा,प्रात्य,"अतितवान्,अतितवती","अतितः,अतिता","अतन्,अतन्ती",,
01.0039,चेतनम्,"चेतनीयः,चेतनीया","चेतकः,चेतिका",चेतितुम्,"चेतितव्यः,चेतितव्या","चेतिता,चेतित्री","चेतित्वा,चितित्वा",प्रचित्य,"चित्तवान्,चित्तवती","चित्तः,चित्ता","चेतन्,चेतन्ती",,
